time,xsen_acc_x,xsen_acc_y,xsen_acc_z,xsen_euler_x,xsen_euler_y,xsen_euler_z,xsen_gyr_x,xsen_gyr_y,xsen_gyr_z,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z,P_dcs
0.0,-3.1647074461909086,1.3507035613042897,9.236036813363707,10.030735948009315,20.08230087662127,66.39095313967724,1.6765248836861488,-4.830660105162947,0.0848358793899948,46.91,158.87,62.06,-0.03,-0.99,0.1,-0.05,0.07,-0.02,2.0646711408354625e-05
0.0099999999999997,-3.1474731055639062,1.4733394177144583,9.235200847721044,10.033786767566232,20.07493780016033,66.38899110277599,2.2298999702076445,-0.9358467839362604,-0.63843471106829,47.09,159.07,62.07,-0.02,-0.99,0.1,-0.05,0.07,-0.02,2.0716953376618312e-05
0.0199999999999995,-3.267811582037963,1.5534047550934835,9.355108094059052,10.042881205797082,20.10823415773529,66.39077412618708,2.6843883557092023,3.161003693048862,-1.1084025450059445,47.17,159.12,62.03,-0.02,-0.99,0.1,-0.05,0.07,-0.02,2.071609278734057e-05
0.0300000000000011,-3.4654850423389423,1.60175802776198,9.525254042049603,10.053638000979326,20.16399631930392,66.39226455792662,2.704878949319847,5.157646894590281,-1.5336149989161871,47.26,159.19,61.98,-0.02,-0.99,0.1,-0.05,0.07,-0.02,2.071566454489814e-05
0.0400000000000009,-3.619867641629861,1.6148131889271111,9.610536834319358,10.050508567673516,20.21325829842465,66.3906940326383,1.592141355743675,4.204389912528248,-1.754528307738502,47.32,159.23,61.95,-0.02,-0.99,0.1,-0.05,0.07,-0.01,2.071513172469756e-05
0.0500000000000007,-3.653952802922805,1.576729811037232,9.676354396484442,10.037716584111417,20.22787372009656,66.38145996192436,0.6326201336636321,0.6452004888885456,-1.677187317862792,47.38,159.3,61.93,-0.02,-0.99,0.1,-0.05,0.07,-0.01,2.0716162038345703e-05
0.0600000000000005,-3.585748641100016,1.532567369968994,9.653887927240698,10.014756280328786,20.205085621700192,66.36805457684702,-0.0982325346037401,-3.112662009061519,-1.2748217100114023,47.48,159.32,61.85,-0.02,-0.99,0.1,-0.05,0.07,-0.01,2.0712573437515524e-05
0.0700000000000002,-3.479622549425909,1.5454359486022522,9.627054539295097,9.989719027172551,20.15804923521189,66.35580398737697,-0.3048654274751652,-5.43184859305182,-0.8332122776241971,47.55,159.35,61.85,-0.02,-0.99,0.1,-0.05,0.07,-0.01,2.071182103250406e-05
0.08,-3.32031575601948,1.6052952894218946,9.502169167667248,9.966970637890832,20.11102087680307,66.34595963614792,-0.2668990839919811,-5.176870812346692,-0.6858770390232465,47.62,159.35,61.86,-0.02,-0.99,0.1,-0.05,0.07,-0.01,2.0709870278479565e-05
0.0899999999999998,-3.228351972327406,1.6159355370414383,9.345246617321004,9.946787091470398,20.08672356663937,66.3392696916782,0.1408996326722321,-2.6210364122545418,-0.6906422287650675,47.68,159.35,61.86,-0.02,-0.99,0.1,-0.05,0.07,-0.01,2.070804112959172e-05
0.0999999999999996,-3.1782813501299776,1.576436505517863,9.2397342378914,9.935421635207902,20.096533900039883,66.33876405795935,0.5448833060569118,0.5404302260876497,-0.8199477812261772,47.74,159.35,61.87,-0.02,-0.99,0.1,-0.05,0.07,-0.01,2.0706394508876462e-05
0.1100000000000012,-3.206245351040585,1.5392040975367047,9.216303719347446,9.93293782218466,20.12551240943609,66.34485922800653,1.4199061980090155,2.5646929708903574,-0.4778330116895474,47.77,159.4,61.87,-0.02,-0.99,0.1,-0.05,0.07,-0.01,2.070777935029273e-05
0.120000000000001,-3.330374893780199,1.5299130738197535,9.301357554579988,9.941895142265318,20.1601335443245,66.35596385944793,2.36644349605915,3.138167260457478,-0.1126008550277316,47.79,159.42,61.86,-0.02,-0.99,0.1,-0.05,0.07,-0.01,2.0707906337694118e-05
0.1300000000000007,-3.454918477633309,1.540788481499184,9.47027035343431,9.953667231097626,20.191731659361928,66.36715019556686,2.4297422215288904,2.719751196689645,-0.1341545101579422,47.8,159.46,61.79,-0.02,-0.99,0.1,-0.05,0.07,-0.01,2.0708160653624785e-05
0.1400000000000005,-3.5341843511174944,1.5339555310004755,9.498626434074785,9.95149757834612,20.210489299545404,66.36781122868192,1.504418045496292,1.2821931999682958,-0.8057458748199464,47.8,159.49,61.73,-0.02,-0.99,0.1,-0.05,0.07,-0.01,2.0708442339560372e-05
0.1500000000000003,-3.542278376749753,1.5083896957576268,9.50919252941943,9.936765486971169,20.21581051944601,66.35747019752007,0.4697758654601982,-0.1900614005972585,-1.6400380951653688,47.78,159.48,61.74,-0.02,-0.99,0.1,-0.05,0.07,-0.01,2.070877568663842e-05
0.1600000000000001,-3.5453570842473923,1.488527900850873,9.538103869966973,9.911434318757635,20.20946534528197,66.34022705022181,-0.2257801477353528,-1.3828066208360013,-1.9251881726950208,47.72,159.56,61.79,-0.02,-0.99,0.1,-0.05,0.07,-0.01,2.0715202519054543e-05
0.1699999999999999,-3.513449698918643,1.5028197436219837,9.514842054066106,9.887572297930276,20.19759454914553,66.32782077212845,-0.1201131400458454,-1.8507466102412424,-1.4663478127958791,47.68,159.57,61.76,-0.02,-0.99,0.1,-0.05,0.07,-0.01,2.0716334082338992e-05
0.1799999999999997,-3.440518461169308,1.5410468269616215,9.418935956730929,9.878934299997352,20.183254361394628,66.328637934241,0.9272652955031824,-1.901615361679895,-0.0994937807620846,47.6,159.59,61.77,-0.02,-0.99,0.1,-0.05,0.07,-0.01,2.0719879022435352e-05
0.1900000000000012,-3.3414660873245468,1.5699863017897278,9.319023238389326,9.888326360191556,20.16712084136997,66.34298442547737,2.37212450715629,-1.6973530376590784,1.5453213893295423,47.53,159.61,61.84,-0.02,-0.99,0.1,-0.05,0.07,-0.01,2.0724217988277213e-05
0.200000000000001,-3.306260953962987,1.5904011395244015,9.24834630740452,9.920236476702623,20.15333006131778,66.37543839381246,3.765157567308306,-1.3249892949923858,2.645110251375198,47.45,159.63,61.88,-0.02,-0.99,0.1,-0.05,0.07,-0.01,2.0728312796457856e-05
0.2100000000000008,-3.320733746312184,1.6269755864339337,9.214105392811236,9.96415463681031,20.145776445024072,66.41496919815127,4.899367266488461,-0.4816413560056316,3.1819208183234404,47.37,159.65,61.92,-0.02,-0.99,0.1,-0.05,0.07,-0.01,2.0732407786617174e-05
0.2200000000000006,-3.396462244115251,1.679946576813376,9.372030932358438,10.00654830376027,20.15082545960849,66.44827059769909,4.650064124328031,0.7343757737336738,2.584064744494923,47.32,159.62,61.95,-0.02,-1.0,0.1,-0.05,0.07,-0.01,2.0739641455964306e-05
0.2300000000000004,-3.4936853478826246,1.6612990810561656,9.598838101276073,10.024162735529652,20.165923182985946,66.47025549344941,2.2630662584221053,1.4467540439040452,1.110827848207818,47.33,159.64,61.96,-0.02,-1.0,0.1,-0.05,0.07,-0.01,2.0740441624488604e-05
