time,xsen_acc_x,xsen_acc_y,xsen_acc_z,xsen_euler_x,xsen_euler_y,xsen_euler_z,xsen_gyr_x,xsen_gyr_y,xsen_gyr_z,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z,P_dcs
0.0,-2.8786680936394173,0.530475254321056,9.657515356470348,4.188664635495993,15.993132651050148,51.037125513874514,-3.356415540498113,-0.1286441855806747,-0.6616171835036835,166.57,273.69,80.72,-0.11,-0.98,-0.16,0.09,0.13,-0.04,2.5535156613755285e-05
0.0099999999999997,-2.8440109231890003,0.525967385084414,9.634922839909144,4.141902934240202,15.992877504279903,51.02442359127212,-3.511709698559282,-0.3285342595928855,-0.975363585571832,166.64,273.58,80.59,-0.11,-0.98,-0.16,0.09,0.13,-0.04,2.5523747266987824e-05
0.0199999999999995,-2.7651760557809872,0.5143893253585365,9.61122360096244,4.089581873796124,15.996419282797069,51.00649948637684,-3.369573454731304,-0.0554191071091116,-0.934912751629879,166.71,273.49,80.51000000000002,-0.11,-0.98,-0.16,0.09,0.13,-0.04,2.5513775671251304e-05
0.0300000000000002,-2.754294595804608,0.5039632007711778,9.61521086129479,4.050058759536407,16.005799790435056,50.99693194505856,-2.8740019130345846,0.6983770627859317,-0.5747093434784023,166.8,273.27,80.4,-0.11,-0.98,-0.16,0.09,0.13,-0.04,2.549640754677786e-05
0.04,-2.790735232847163,0.4734609436536885,9.57350968456373,4.01571882193528,16.020788581188352,50.990652372970494,-2.11948347259947,1.2291078090181302,0.0176120035184853,166.88,273.11,80.35,-0.11,-0.98,-0.16,0.09,0.13,-0.04,2.5483055225870697e-05
0.0499999999999998,-2.833005734292126,0.4620353742341018,9.538804002392968,3.991047669562729,16.037068303522226,50.99249836145376,-1.2147678276125693,1.339961213785482,0.401976784685355,166.95,272.96,80.25,-0.11,-0.98,-0.16,0.08,0.13,-0.04,2.547030604819505e-05
0.0599999999999996,-2.8674620738116627,0.4620283099239021,9.527924283027067,3.977424207346675,16.04878561382504,50.99677916626297,-0.580320337232894,0.9277829279690044,0.5641250680830245,167.06,272.89,80.2,-0.11,-0.98,-0.16,0.08,0.13,-0.04,2.5458608183476758e-05
0.0700000000000002,-2.857361679921867,0.4624307855218003,9.492508926961987,3.9592018059872887,16.053633485017233,50.99452692540635,-0.4212734777229352,0.0875725744161497,0.6131076415795403,167.19,272.83,80.04,-0.11,-0.98,-0.16,0.08,0.13,-0.04,2.5444602219741986e-05
0.08,-2.8029942182534184,0.4497168244390594,9.470685422030185,3.944693887124267,16.05217652165053,50.99320177442348,-0.6459361027713667,-0.3639564270373475,0.3135173689717034,167.34,272.63,79.89,-0.11,-0.98,-0.16,0.09,0.13,-0.05,2.5423267043243926e-05
0.0899999999999998,-2.7712280824035846,0.4412580669509628,9.465564965758691,3.923031657380499,16.04990768765449,50.98446697806486,-0.911385515266766,-0.5453330645019878,-0.0359911375691843,167.4,272.62,79.89,-0.11,-0.98,-0.16,0.09,0.13,-0.05,2.541841602993138e-05
0.0999999999999996,-2.7186254405559045,0.4215397765607426,9.487453173235258,3.894110873680856,16.05011763100151,50.97488684328616,-1.5156604675698273,-0.2749954243327521,-0.5570611990490999,167.49,272.58,79.97,-0.11,-0.98,-0.16,0.09,0.13,-0.05,2.541099573861156e-05
0.1099999999999994,-2.6734230357443214,0.3500089463153061,9.46842772920013,3.863817930075242,16.05593137928832,50.9615620443122,-1.8635467701800603,0.3728808308279365,-1.115207713867976,167.49,272.52,79.99,-0.1199999999999991,-0.98,-0.16,0.09,0.13,-0.05,2.5234972448220164e-05
0.1199999999999992,-2.6938304522052263,0.3504297829127251,9.473392809760323,3.827973407401189,16.073614942504356,50.93909306415195,-1.5328773972923635,1.387069834930028,-1.630241364169677,167.49,272.5,80.02,-0.12,-0.98,-0.16,0.09,0.13,-0.05,2.5234471773545383e-05
0.1299999999999999,-2.7242464261116752,0.3702774575279563,9.480152325367447,3.807102676688971,16.10055917647947,50.91752543979271,-0.6198382489781775,2.367566095216509,-1.9720868839726944,167.5,272.52,80.02,-0.12,-0.98,-0.16,0.09,0.13,-0.05,2.5234576768113202e-05
0.1399999999999996,-2.7419383103424915,0.3916952531272292,9.545352597012752,3.791385354361362,16.132264406879298,50.89352817977552,0.3354249391433662,2.752211989479385,-2.055808250711767,167.53,272.55,80.08,-0.12,-0.98,-0.16,0.09,0.13,-0.05,2.5234310411283912e-05
0.1499999999999994,-2.737124374022632,0.4350066163147339,9.571439695964552,3.78416058113268,16.164568489780606,50.8681349915578,1.0832311558978054,2.8143073138109327,-1.719667504005465,167.52,272.59,80.11,-0.12,-0.98,-0.16,0.09,0.13,-0.05,2.523707118342862e-05
0.1599999999999992,-2.7499641537558763,0.5131540559802544,9.510679437404496,3.78655469645939,16.1950839348441,50.85179073920457,1.514892831242716,2.7352907983431947,-1.228473451454737,167.51,272.65,80.11,-0.1100000000000008,-0.98,-0.16,0.09,0.13,-0.05,2.5414112491007673e-05
0.1699999999999999,-2.7718005943505424,0.5710852239746584,9.548029508690592,3.786306101445117,16.224331441104038,50.83907570609696,1.7843736049394396,2.5031079110642813,-0.8282861246277939,167.44,272.66,80.11,-0.11,-0.98,-0.16,0.09,0.13,-0.05,2.5419701600545112e-05
0.1799999999999997,-2.7749186546499742,0.592540942405341,9.617887667951525,3.78947475616816,16.24816918240818,50.83209314978158,1.275873273764391,2.135049385974643,-0.414191963979198,167.35,272.65,80.12,-0.11,-0.98,-0.16,0.09,0.13,-0.05,2.5426028241402466e-05
0.1899999999999995,-2.7756605164136072,0.5679660973228136,9.703715349183565,3.780976346500663,16.27286067828817,50.82230838078898,0.4382079378821433,2.1714859933209003,-0.3815970085324868,167.33,272.69,80.06,-0.11,-0.98,-0.16,0.09,0.13,-0.05,2.5428521561346572e-05
0.1999999999999993,-2.7961104785972104,0.5111729021948523,9.74543571282032,3.7654156589212735,16.301305343477665,50.81291659913708,-0.1722268903066689,2.5732684536422914,-0.6416217677583252,167.34,272.74,79.99,-0.11,-0.98,-0.16,0.09,0.13,-0.05,2.542911251042684e-05
0.2099999999999999,-2.847643879286999,0.4717187266316843,9.739515353831653,3.7517893443844,16.331215397405373,50.80155949863,-0.208972832114344,2.719228253498548,-1.0289005676272136,167.41,272.83,79.91,-0.11,-0.98,-0.16,0.08,0.13,-0.05,2.54268653314272e-05
0.2199999999999997,-2.9284727622052924,0.4424592471391504,9.722537630513536,3.738542804142988,16.357880343223194,50.78442076593951,0.6563749480964187,2.207581450566559,-1.2863349313811274,167.51,272.96,79.83,-0.11,-0.98,-0.15,0.08,0.13,-0.05,2.5424501772518103e-05
0.2299999999999995,-2.9454697245361765,0.4583900376249514,9.718055392993556,3.743245391597816,16.371064909461182,50.76656896062661,1.8378526513063649,0.9411051873333964,-1.4439824934452925,167.58,273.04,79.71000000000001,-0.11,-0.98,-0.15,0.08,0.13,-0.05,2.5421297845665984e-05
